date,open,high,low,close,volume,symbol
04-02-2025,3199.296731,3244.483745,3112.841414,3163.633301,3862456,M&M
05-02-2025,3163.63324,3192.997182,3116.958182,3153.415283,2264208,M&M
06-02-2025,3144.735111,3155.498733,3096.373648,3114.924561,2341341,M&M
07-02-2025,3142.750987,3194.286897,3085.213248,3172.958252,4790111,M&M
10-02-2025,3183.622603,3244.880455,3103.863489,3112.246094,3852783,M&M
11-02-2025,3121.769505,3128.862422,3046.623237,3061.354736,2470280,M&M
12-02-2025,3044.09358,3050.492125,2931.547829,2963.391846,4609887,M&M
13-02-2025,3000.840894,3022.715202,2947.370577,2954.265137,2481783,M&M
14-02-2025,2975.097854,2995.930483,2883.880747,2919.147461,1959802,M&M
17-02-2025,2917.361707,2931.448483,2769.99561,2809.37915,4773279,M&M
18-02-2025,2821.3332,2822.32523,2733.935264,2767.813232,2301836,M&M
19-02-2025,2728.082415,2760.472097,2706.257756,2735.42334,2671072,M&M
20-02-2025,2723.221457,2821.829136,2668.610161,2816.819336,3799854,M&M
21-02-2025,2792.762616,2792.762616,2632.202716,2648.075195,8940621,M&M
24-02-2025,2647.727867,2695.146946,2610.179438,2687.607422,6167313,M&M
25-02-2025,2718.162019,2781.602285,2706.406368,2755.710449,4916248,M&M
27-02-2025,2814.388997,2817.365086,2681.952997,2704.819336,2669767,M&M
28-02-2025,2673.620125,2677.488945,2551.699494,2564.496826,7549863,M&M
03-03-2025,2592.96801,2674.463176,2574.317798,2591.083008,4340806,M&M
04-03-2025,2540.588621,2606.360253,2529.676292,2592.521484,1984876,M&M
05-03-2025,2640.734016,2715.086611,2621.58779,2704.868896,3665710,M&M
06-03-2025,2726.098434,2744.798296,2673.520844,2720.542969,3706264,M&M
07-03-2025,2699.611286,2743.905329,2686.516538,2706.109131,1886774,M&M
10-03-2025,2673.520778,2712.85467,2643.859179,2681.060303,2520931,M&M
11-03-2025,2663.352526,2663.600533,2592.323081,2624.514648,3616140,M&M
12-03-2025,2624.514494,2656.656167,2615.09021,2632.153076,3447155,M&M
13-03-2025,2655.763455,2664.939732,2597.432046,2622.431152,2446428,M&M
17-03-2025,2613.999036,2705.315446,2613.999036,2683.589844,2527623,M&M
18-03-2025,2683.589844,2683.589844,2683.589844,2683.589844,0,M&M
19-03-2025,2772.723729,2809.329538,2757.396915,2766.87085,2438912,M&M
20-03-2025,2781.404032,2824.309328,2778.675949,2805.560059,2354374,M&M
21-03-2025,2816.472404,2869.942723,2759.083373,2779.519287,3824316,M&M
24-03-2025,2792.861962,2799.657222,2687.805845,2752.585449,5395134,M&M
25-03-2025,2752.585605,2780.114437,2703.331412,2714.194092,3576766,M&M
26-03-2025,2729.372207,2772.72387,2715.23578,2720.394287,3111504,M&M
27-03-2025,2713.201833,2729.074312,2674.066301,2711.217773,4325599,M&M
28-03-2025,2713.995563,2717.864383,2613.998896,2644.553467,6074446,M&M
01-04-2025,2631.657124,2706.257729,2602.243291,2616.875732,3300417,M&M
02-04-2025,2610.13002,2638.799588,2604.376198,2616.528564,2243574,M&M
03-04-2025,2586.966256,2631.260299,2579.526031,2590.636719,2361203,M&M
04-04-2025,2594.108723,2610.526868,2536.670285,2575.855469,3598415,M&M
07-04-2025,2405.672549,2504.528234,2405.672549,2471.394531,3937471,M&M
08-04-2025,2489.995265,2529.676464,2434.441585,2503.536377,4253527,M&M
09-04-2025,2519.756177,2551.451487,2495.897807,2502.990967,3347213,M&M
11-04-2025,2528.684431,2583.24608,2511.869571,2559.784668,3600209,M&M
15-04-2025,2585.230177,2668.560697,2585.230177,2624.911377,3287861,M&M
16-04-2025,2638.79976,2643.75991,2597.432158,2613.602295,3070954,M&M
17-04-2025,2611.0228,2661.417969,2581.658617,2658.044922,2638979,M&M
21-04-2025,2678.381488,2751.891002,2644.652471,2741.970703,3120955,M&M
22-04-2025,2742.962847,2799.508555,2734.034577,2794.647705,3193757,M&M
23-04-2025,2807.444884,2899.703674,2803.476764,2894.545166,3906215,M&M
24-04-2025,2894.545071,2904.663729,2842.165841,2878.275635,2488496,M&M
25-04-2025,2878.275535,2916.171272,2808.536025,2841.37207,2299310,M&M
28-04-2025,2895.63622,2921.528299,2859.328067,2907.243164,1864672,M&M
29-04-2025,2926.488313,2945.832897,2878.672518,2886.4104,2051228,M&M
30-04-2025,2885.616919,2925.397177,2863.990617,2905.45752,2689753,M&M
